播客名称,简介,标签,评分,排名,剧集名,剧集介绍,audio链接
Education Podcast from United States: Science Vs,"There are a lot of fads, blogs and strong opinions, but then there’s SCIENCE. Science Vs is the show from Gimlet that finds out what’s fact, what’s not, and what’s somewhere in between. We do the hard work of sifting through all the science so you don't have to and cover everything from 5G and Pandemics, to Vaping and Fasting Diets.","Education, Natural Sciences, Kids & Family, Technology, Science",76,0.01%,Skin Care: Is Anti-Aging a Scam?,"When it comes to keeping our skin looking younger, what works? Retinol, hyaluronic acid, vitamin C? This simple question has become confused by the billion-dollar skin-care industry, which floods us with scientific-sounding claims about the chemicals they say we should put on our face. We find out …",https://www.listennotes.com/e/p/5e8502885397422aa6813f533674cc9a/
,,,,,When You Predict the Future,"Just two months before Covid-19 broke out, we made a fictional pandemic episode that was like “Contagion” but with citations. And we played it for Dr. Anthony Fauci. Today, we’re looking back at that episode and asking — how much of the pandemic did we predict?  This episode has some unbleeped cur…",https://www.listennotes.com/e/p/b8fc39c881974c95a294e735e3197558/
,,,,,I’ll Be Dammed: Beavers Fighting Climate Change,"Today, we give a dam about beavers. These busy rodents don’t just chill and go with the flow — it turns out their grabby paws are actually helping hands in the fight against climate change. We dive into how this works with ecologists Dr. Emily Fairfax and Dr. Ben Dittbrenner.  Find our transcript …",https://www.listennotes.com/e/p/a4c1711b963b441b86fda8721f7bed4f/
,,,,,Ketamine: How Special is Special K?,"For years, ketamine has been thought of mostly as a horse tranquilizer — or a street drug that puts you in a scary-sounding K-hole. But now, we’re hearing reports that it could be almost a miracle medicine, treating stubborn depression and other mental illnesses. So how good is it, really? And coul…",https://www.listennotes.com/e/p/a5e39d023fde4129a382ae237bc14fd3/
,,,,,Pit Bulls: Bad to the Bone?,"Pit bulls have a dark reputation. And some people say the science backs this up: that they bite people more often and do more damage when they chomp down. But other people say, no way — these dogs don’t deserve their bad rap. And if a dog has a problem, it’s really the owner’s fault. So who’s right…",https://www.listennotes.com/e/p/98e5e7e15be64a9fbf6bd14182205a6a/
,,,,,Superbugs: Apocalypse … Now?,"Imagine getting an infection, going to the doctor, and having no little pill to make you better. Welcome to a world of SUPERBUGS. For years we've been hearing that our antibiotics aren't working as well as they used to. But recently, it feels like things have really gotten out of hand — we’re told …",https://www.listennotes.com/e/p/cb375781ad3b4a2b800b3c38395eb981/
,,,,,Hangovers: What Really Helps?,"What actually cures a hangover? Water? Crushed up Advil? Maybe a burger, fries and a Diet Coke? We wanted to know what the science says about how to bounce back when we’ve had a few too many. We talk to psychopharmacologist Andrew Scholey to find out. Find our transcript here: https://bit.ly/Scien…",https://www.listennotes.com/e/p/ef18e3cc8ee3452a808817f53ad5f4fb/
,,,,,Alcohol: Time to Put a Cork in It?,"For decades we’ve been yanked around over alcohol: one day it’s actually good for us, the next day it’s a killer. And recently there’ve been reports that even a little bit of booze is bad for you overall. We first looked into this back in 2019, and since then the research has evolved faster than a …",https://www.listennotes.com/e/p/5aef53f2a5354b23b041eba733cef2d6/
,,,,,Weight Loss Meds: Is Ozempic a Miracle Drug?,People say drugs like Ozempic are helping them lose tons of weight. But are these drugs really all they’re cracked up to be? Or could this be yet another dangerous weight loss fad? We talk to endocrinologists Prof. Tricia Tan and Dr. Daniela Hurtado. Note: In this episode we discuss weight and wei…,https://www.listennotes.com/e/p/65e20c2202844209acb12c8cfcacdffa/
,,,,,Adderall: What's It Doing to Your Brain?,"There’s an Adderall shortage across the U.S., and it’s causing huge problems for people with ADHD. But on the flip side, we hear people saying that we shouldn’t be giving this drug out anyway. So we wanted to know: What is Adderall, exactly? What is it doing in people’s brains? And is there any truth to this idea that Adderall is like meth — could it be dangerous? We talk to psychiatrist Prof. Rachel Fargason, neuroscientist Prof. Habibeh Khoshbouei, and actor Kai Liu.If you or someone you love is struggling with addiction, in the US you can call the Substance Abuse and Mental Health Services Administration’s National Helpline: 1-800-662-HELP or visit their website.Find our transcript here: https://bit.ly/sciencevsadderallThis episode was produced by Rose Rimler, with help from Meryl Horn, Michelle Dang, and Disha Bhagat. We’re edited by Blythe Terrell. Editing help from Caitlin Kenney. Wendy Zukerman is our Executive Producer. Fact checking by Diane Kelly. Mix and sound design by Bumi Hidaka. Music written by Bumi Hidaka, Emma Munger, Bobby Lord, SoWylie, and Peter Leonard. And a big thanks to the researchers we spoke to including Dr. Kenny Handelman, Prof. Gail Tripp, Prof. Lily Hechtman, Dr. Nora Volkow, Dr. Joshua Gordon, Prof. Stephen Faraone, Dr. Zheng Chang, and Prof. Carl Hart. A big thanks to Annette Heist, Anya Schultz, and Thom Dunn. And this is our last episode of the season! So an extra special thanks to everyone who helped us out this season, including Jack Weinstein, and Hunter, Chris Suter and Elise, and Presha Bhagat. We’ll see you next year! Learn more about your ad choices. Visit podcastchoices.com/adchoices",https://www.listennotes.com/e/p/8c5feac764074a34adf2a3ab1b82156c/
